date,symbol,timestamp,open,high,low,close,volume,turnover
2024-10-07,700.HK,2024-10-07,479.800,482.400,469.600,478.400,25334387,12100493260.000
2024-10-08,700.HK,2024-10-08,472.000,476.800,438.600,438.600,70468024,31910928585.000
2024-10-09,700.HK,2024-10-09,449.000,453.000,424.000,434.200,46372903,20395255847.000
2024-10-10,700.HK,2024-10-10,438.000,448.600,436.400,438.800,33111230,14647696645.000
2024-10-14,700.HK,2024-10-14,440.800,440.800,424.000,436.000,30316807,13164335484.000
2024-10-15,700.HK,2024-10-15,433.800,433.800,412.600,417.000,33478410,14096594793.000
2024-10-16,700.HK,2024-10-16,415.000,425.800,412.600,415.800,22490256,9408091928.000
2024-10-17,700.HK,2024-10-17,418.000,426.800,410.000,412.600,16476899,6891360483.000
2024-10-18,700.HK,2024-10-18,412.600,435.600,411.400,430.800,25963857,11032073978.000
2024-10-21,700.HK,2024-10-21,430.600,431.400,419.200,421.000,16334100,6931274444.000
2024-10-22,700.HK,2024-10-22,423.200,423.600,418.000,421.600,11027704,4640118297.000
2024-10-23,700.HK,2024-10-23,423.000,432.200,416.600,428.200,14656951,6257381250.000
2024-10-24,700.HK,2024-10-24,425.000,425.600,419.600,422.000,11202752,4728256741.000
2024-10-25,700.HK,2024-10-25,427.600,427.600,418.600,421.000,11951879,5042478403.000
2024-10-28,700.HK,2024-10-28,421.000,422.200,413.600,417.200,15551935,6490536102.000
2024-10-29,700.HK,2024-10-29,419.400,423.400,415.200,418.400,13797786,5779088134.000
2024-10-30,700.HK,2024-10-30,413.600,418.000,410.600,411.000,17895482,7390929003.000
2024-10-31,700.HK,2024-10-31,410.400,418.800,404.600,404.600,22753709,9311202110.000
2024-11-01,700.HK,2024-11-01,406.000,422.400,406.000,419.200,21086569,8772957316.000
2024-11-04,700.HK,2024-11-04,423.000,423.800,416.000,419.000,11706119,4907800634.000
2024-11-05,700.HK,2024-11-05,415.200,427.800,415.200,427.800,15270863,6467649437.000
2024-11-06,700.HK,2024-11-06,425.000,426.200,413.200,419.800,20755203,8721758302.000
2024-11-07,700.HK,2024-11-07,417.000,429.600,414.400,428.400,19924018,8451854957.000
2024-11-08,700.HK,2024-11-08,435.000,436.000,419.400,420.800,19389836,8248754864.000
2024-11-11,700.HK,2024-11-11,412.000,415.600,409.400,413.200,22857586,9415370362.000
2024-11-12,700.HK,2024-11-12,409.400,413.800,403.000,403.800,27303282,11097703325.000
2024-11-13,700.HK,2024-11-13,397.200,407.200,396.000,403.800,28307185,11330712756.000
2024-11-14,700.HK,2024-11-14,401.600,415.000,397.800,403.400,34898922,14209879823.000
2024-11-15,700.HK,2024-11-15,404.000,407.000,399.000,401.000,29061324,11694318621.000
2024-11-18,700.HK,2024-11-18,405.200,413.400,401.600,404.200,20493537,8334918073.000
2024-11-19,700.HK,2024-11-19,406.600,409.000,403.400,406.200,13879296,5642160961.000
2024-11-20,700.HK,2024-11-20,408.200,413.800,406.200,410.800,15005135,6154781898.000
2024-11-21,700.HK,2024-11-21,409.400,411.400,407.000,407.600,12501718,5113866289.000
2024-11-22,700.HK,2024-11-22,408.800,412.400,399.600,400.600,16949546,6864777347.000
2024-11-25,700.HK,2024-11-25,400.000,402.400,393.800,395.200,27888308,11050846352.000
2024-11-26,700.HK,2024-11-26,392.200,399.200,392.200,393.800,16940574,6691211866.000
2024-11-27,700.HK,2024-11-27,394.600,406.200,392.000,402.800,16685594,6663311548.000
2024-11-28,700.HK,2024-11-28,401.400,404.200,397.400,400.000,13067643,5231565698.000
2024-11-29,700.HK,2024-11-29,395.000,402.800,395.000,398.000,15626995,6222578704.000
2024-12-02,700.HK,2024-12-02,398.000,401.600,395.600,399.800,13334410,5315344071.000
2024-12-03,700.HK,2024-12-03,403.200,404.400,394.400,404.400,18362569,7349822394.000
2024-12-04,700.HK,2024-12-04,402.200,405.600,399.800,403.200,14053234,5659584173.000
2024-12-05,700.HK,2024-12-05,403.400,406.600,400.800,405.200,13314801,5387437368.000
2024-12-06,700.HK,2024-12-06,406.800,414.600,405.000,412.600,27711445,11355635110.000
2024-12-09,700.HK,2024-12-09,406.200,421.200,406.200,418.800,22461949,9280106150.000
2024-12-10,700.HK,2024-12-10,430.000,431.000,410.400,411.200,30282843,12685586317.000
2024-12-11,700.HK,2024-12-11,414.800,415.000,407.200,409.800,13098201,5375397926.000
2024-12-12,700.HK,2024-12-12,414.000,422.800,409.200,415.600,23414258,9764008489.000
2024-12-13,700.HK,2024-12-13,413.000,415.000,408.600,409.800,16296064,6700157586.000
2024-12-16,700.HK,2024-12-16,410.000,411.400,403.800,405.600,14059845,5717887485.000
2024-12-17,700.HK,2024-12-17,402.000,408.000,401.800,402.600,16779048,6775381419.000
2024-12-18,700.HK,2024-12-18,408.000,408.800,404.000,406.000,14906072,6055022951.000
2024-12-19,700.HK,2024-12-19,402.200,422.000,401.400,415.200,34671236,14310455150.000
2024-12-20,700.HK,2024-12-20,414.200,429.800,414.200,426.400,44834041,19091460065.000
2024-12-23,700.HK,2024-12-23,430.600,431.000,416.200,420.200,20856154,8789976430.000
2024-12-24,700.HK,2024-12-24,421.000,421.600,417.600,420.000,7873769,3304033747.000
2024-12-27,700.HK,2024-12-27,417.600,421.000,415.600,417.400,13545082,5658808228.000
2024-12-30,700.HK,2024-12-30,418.000,421.800,415.800,419.000,13515622,5658833713.000
2024-12-31,700.HK,2024-12-31,417.200,421.400,415.800,417.000,10867280,4549301806.000
2025-01-02,700.HK,2025-01-02,417.000,425.000,413.600,416.000,20733037,8663880815.000
2025-01-03,700.HK,2025-01-03,418.000,419.000,410.400,414.200,16843241,6981757015.000
2025-01-06,700.HK,2025-01-06,415.000,415.000,407.200,409.400,16869318,6913962011.000
2025-01-07,700.HK,2025-01-07,380.600,392.800,376.600,379.600,142920468,54765124550.000
2025-01-08,700.HK,2025-01-08,371.200,379.800,365.600,369.200,95456188,35455056165.000
2025-01-09,700.HK,2025-01-09,365.000,379.400,365.000,373.400,60578450,22635953876.000
2025-01-10,700.HK,2025-01-10,373.600,379.400,369.600,369.600,37053933,13862840308.000
2025-01-13,700.HK,2025-01-13,364.800,371.600,364.800,366.000,34785015,12807672283.000
2025-01-14,700.HK,2025-01-14,365.600,379.600,365.600,375.000,40623785,15194363089.000
2025-01-15,700.HK,2025-01-15,373.400,385.400,373.000,380.000,29158255,11078584830.000
2025-01-16,700.HK,2025-01-16,384.000,386.600,376.600,382.400,26141103,9980555775.000
2025-01-17,700.HK,2025-01-17,381.000,382.200,378.400,379.800,17138321,6508060710.000
2025-01-20,700.HK,2025-01-20,380.200,392.800,380.200,389.800,31141403,12097853995.000
2025-01-21,700.HK,2025-01-21,392.000,392.200,386.400,387.400,25249668,9804257217.000
2025-01-22,700.HK,2025-01-22,385.000,388.600,381.000,383.400,17859069,6847451534.000
2025-01-23,700.HK,2025-01-23,383.000,386.000,379.600,381.200,21256810,8126061004.000
2025-01-24,700.HK,2025-01-24,383.200,392.400,382.200,390.600,24079119,9365230981.000
2025-01-27,700.HK,2025-01-27,388.000,398.000,388.000,395.600,23605938,9317464987.000
2025-01-28,700.HK,2025-01-28,401.000,406.000,399.000,401.200,14203491,5712247749.000
2025-02-03,700.HK,2025-02-03,400.000,404.800,394.200,404.200,27917841,11162153158.000
2025-02-04,700.HK,2025-02-04,409.200,421.200,407.000,420.800,31276268,13026602852.000
